,Aversion,Neutral,Appreciation
Aversion,0.3307173647811589,0.6660929229748653,0.003189712243975817
Neutral,0.06858149744947657,0.9057697483858197,0.02564875416470353
Appreciation,0.0011917340608348145,0.24082768271784327,0.757980583221322
