neutral_origin_state,neutral_origin_n,neutral_origin_share,neutral_origin_share_pct,next_observed_n,next_aversion_n,next_aversion_rate,next_aversion_rate_pct,next_neutral_n,next_neutral_rate,next_neutral_rate_pct,next_appreciation_n,next_appreciation_rate,next_appreciation_rate_pct
Aversion,2251,0.22107640934983303,22.1076409349833,2182,899,0.41200733272227313,41.20073327222731,1135,0.5201649862511457,52.01649862511457,148,0.06782768102658111,6.782768102658111
Neutral,7499,0.7364957768611274,73.64957768611275,7418,1473,0.19857104340792667,19.857104340792667,5463,0.7364518738204368,73.64518738204367,482,0.06497708277163657,6.497708277163657
Appreciation,432,0.04242781378903948,4.242781378903948,395,103,0.2607594936708861,26.075949367088608,224,0.5670886075949367,56.708860759493675,68,0.17215189873417722,17.21518987341772
