state,confidence_mid_pct,n_tasks,fully_approved_no_escalation_pct,manager_accept_pct,escalated_to_employee_pct
Appreciation,15.000000000000002,17,11.76470588235294,17.647058823529413,64.70588235294117
Appreciation,25.0,348,14.942528735632186,33.04597701149425,60.91954022988506
Appreciation,35.0,2711,14.939136849870897,35.521947620804134,57.469568424935446
Appreciation,45.0,8787,16.968248548992833,38.85285080232161,56.185273699783764
Appreciation,55.00000000000001,14623,20.023251042877657,42.33057512138412,52.84825275251317
Appreciation,64.99999999999999,12910,23.307513555383423,45.38342370255616,50.39504260263362
Appreciation,75.0,5381,26.6493216874187,50.9942389890355,49.67478163910054
Appreciation,85.00000000000001,735,25.98639455782313,51.02040816326531,48.435374149659864
Appreciation,95.0,8,25.0,50.0,37.5
Aversion,15.000000000000002,25,8.0,28.000000000000004,68.0
Aversion,25.0,798,8.145363408521304,20.676691729323306,61.152882205513784
Aversion,35.0,5817,11.964930376482723,25.700532920749524,56.09420663572288
Aversion,45.0,18037,13.511116039252647,28.496978433220605,53.28491434273992
Aversion,55.00000000000001,29008,16.843629343629342,32.79784886927744,50.04481522338665
Aversion,64.99999999999999,25578,20.13058096801939,36.46884040972711,47.21244819766987
Aversion,75.0,10220,22.10371819960861,40.40117416829745,45.929549902152644
Aversion,85.00000000000001,1379,23.930384336475708,42.349528643944886,44.307469180565626
Aversion,95.0,16,43.75,56.25,43.75
Neutral,15.000000000000002,44,4.545454545454546,13.636363636363635,56.81818181818182
Neutral,25.0,1112,8.363309352517986,18.705035971223023,57.014388489208635
Neutral,35.0,7919,10.847329208233363,22.641747695416086,53.28955676221745
Neutral,45.0,25034,13.393784453143725,26.284253415355117,51.19038108172885
Neutral,55.00000000000001,41597,16.174243334855877,29.43241099117725,47.15724691684496
Neutral,64.99999999999999,36520,18.592552026286967,32.79572836801752,44.37294633077766
Neutral,75.0,15076,21.67020429822234,36.31599893871053,42.31891748474396
Neutral,85.00000000000001,1930,24.974093264248705,40.932642487046635,40.46632124352332
Neutral,95.0,23,30.434782608695656,43.47826086956522,26.08695652173913
