t -> t+1,Aversion,Neutral,Appreciation
Aversion,33.07% [32.01%-34.14%],66.61% [65.54%-67.68%],0.32% [0.19%-0.45%]
Neutral,6.86% [6.38%-7.33%],90.58% [90.03%-91.13%],2.56% [2.27%-2.86%]
Appreciation,0.12% [0.01%-0.23%],24.08% [22.68%-25.49%],75.80% [74.39%-77.21%]
