macro_region,n_managers,ai_authority_share_mean_mean,ai_authority_share_mean_sd,escalation_share_mean_mean,escalation_share_mean_sd,composite_kpi_score_mean_mean,composite_kpi_score_mean_sd,target_attainment_rate_mean,target_attainment_rate_sd,share_aversion_mean,share_aversion_sd,share_neutral_mean,share_neutral_sd,share_appreciation_mean,share_appreciation_sd,persistence_rate_mean,persistence_rate_sd,upward_transition_rate_mean,upward_transition_rate_sd,downward_transition_rate_mean,downward_transition_rate_sd
Asia-Pacific,220,0.35137694373540773,0.117715530432077,0.542492599840634,0.05326400583562259,0.4893075841900714,0.048609984928622785,0.08776223776223775,0.09153933495579662,0.2692307692307692,0.1871994542617049,0.5248251748251749,0.14136081416951812,0.20594405594405593,0.17458453278804872,0.7423636363636363,0.11046541038182979,0.12818181818181817,0.05253712439410341,0.12945454545454546,0.06337301852493216
"Europe, Middle East, Africa",500,0.3173186524467743,0.10984199275030813,0.5560586811983718,0.04776475552824683,0.47050502391047533,0.044868383174318335,0.06784615384615383,0.08061423021377583,0.4008461538461538,0.19614604759658683,0.4518461538461539,0.14131407270665144,0.14730769230769233,0.153504225390602,0.69384,0.10652675861304145,0.15144,0.052880232961628984,0.15472000000000002,0.05926166966076778
"North, Central, South America",155,0.37101671752463994,0.11018283358413554,0.5370144362646506,0.04905435092819054,0.4990459518335432,0.04176117437792848,0.0945409429280397,0.08569364629806336,0.26228287841191067,0.18890450133037034,0.5377171215880893,0.1328354544835023,0.2,0.17687311982002735,0.7685161290322579,0.10825531118842494,0.11483870967741934,0.05426432229051545,0.1166451612903226,0.05977530892938728
