State at t-1,State at t: Aversion,State at t: Neutral,State at t: Appreciation
Aversion,60.4% [0.0%-93.8%],38.0% [0.0%-100.0%],1.6% [0.0%-14.3%]
Neutral,28.2% [0.0%-71.4%],65.0% [22.2%-92.3%],6.8% [0.0%-20.2%]
Appreciation,0.3% [0.0%-0.0%],21.1% [0.0%-100.0%],78.5% [0.0%-100.0%]
