state,n_managers_with_origin_state,total_origin_transitions,total_cell_transitions,pooled_transition_rate,mean_stay_propensity,median_stay_propensity,sd_stay_propensity,p025_stay_propensity,p25_stay_propensity,p75_stay_propensity,p975_stay_propensity
Aversion,826,7473,5128,0.6862036665328516,0.6041892463459997,0.6666666666666666,0.23917520747226173,0.0,0.5,0.7756410256410257,0.9375
Neutral,875,10856,7499,0.6907700810611643,0.6500625273394844,0.6666666666666666,0.18472158791690663,0.2222222222222222,0.5555555555555556,0.7894736842105263,0.9230769230769232
Appreciation,598,3546,3107,0.8761985335589396,0.785219676273188,0.875,0.2826742657999062,0.0,0.7142857142857143,1.0,1.0
