from_state,to_state,n_managers_with_origin_state,total_origin_transitions,total_cell_transitions,pooled_transition_rate,mean_manager_rate,median_manager_rate,sd_manager_rate,p025,p25,p75,p975
Aversion,Aversion,826,7473,5128,0.6862036665328516,0.6041892463459997,0.6666666666666666,0.23917520747226173,0.0,0.5,0.7756410256410257,0.9375
Aversion,Neutral,826,7473,2251,0.30121771711494716,0.3801106516115155,0.3333333333333333,0.2380575911141638,0.0,0.2222222222222222,0.5,1.0
Aversion,Appreciation,826,7473,94,0.012578616352201259,0.01570010204248467,0.0,0.05540003662265614,0.0,0.0,0.0,0.1428571428571428
Neutral,Aversion,875,10856,2659,0.24493367722918202,0.2818968721288049,0.25,0.1883182606333816,0.0,0.1428571428571428,0.4,0.7142857142857143
Neutral,Neutral,875,10856,7499,0.6907700810611643,0.6500625273394844,0.6666666666666666,0.18472158791690663,0.2222222222222222,0.5555555555555556,0.7894736842105263,0.9230769230769232
Neutral,Appreciation,875,10856,698,0.06429624170965365,0.06804060053171064,0.0666666666666666,0.06679664346516641,0.0,0.0,0.1111111111111111,0.20214285714285682
Appreciation,Aversion,598,3546,7,0.0019740552735476595,0.0033371821415299676,0.0,0.04430737813103313,0.0,0.0,0.0,0.0
Appreciation,Neutral,598,3546,432,0.1218274111675127,0.21144314158528205,0.125,0.28153534655382817,0.0,0.0,0.2767857142857143,1.0
Appreciation,Appreciation,598,3546,3107,0.8761985335589396,0.785219676273188,0.875,0.2826742657999062,0.0,0.7142857142857143,1.0,1.0
