state,emission,mu_standardized,log_sigma_standardized,mu_orig,sigma_orig,mu_minus_sigma,mu_plus_sigma
1,emission_1,0.2569722458093828,-2.2965219174285316,0.5347421021689794,0.029227577298682594,0.5055145248702968,0.5639696794676621
1,emission_2,-0.2569722265761546,-2.2965212256928402,0.46525790341844675,0.02922759751644798,0.43603030590199876,0.49448550093489474
1,emission_3,0.3742172017635295,-0.12340397089162858,0.20232039231664492,0.0648754874823289,0.13744490483431604,0.2671958797989738
2,emission_1,-0.23886276723228958,-2.3025850929940455,0.3906975608505839,0.02905090151555905,0.3616466593350248,0.41974846236614294
2,emission_2,0.23886275919327427,-2.3025850929940455,0.6093024368140098,0.02905090151555905,0.5802515352984507,0.6383533383295688
2,emission_3,-0.26734471798130954,-0.20240088843305676,0.1552321070177378,0.059947725337604396,0.0952843816801334,0.2151798323553422
3,emission_1,0.007048495432278697,-2.3025850929940455,0.4621369995829353,0.02905090151555905,0.43308609806737625,0.49118790109849436
3,emission_2,-0.007048659431303983,-2.3025850929940455,0.5378629527738694,0.02905090151555905,0.5088120512583104,0.5669138542894284
3,emission_3,-0.01905505166913941,-0.2160227878806926,0.17345565533670265,0.05913666011685481,0.11431899521984784,0.23259231545355746
