scenario,dest_1,dest_2,dest_3
baseline,0.24733686345851225,0.23008772848358747,0.5225754080579003
baseline,0.2135035481561865,0.2335271874226819,0.5529692644211316
baseline,0.20439187508766676,0.27270793844099267,0.5229001864713405
cov1_plus1SD,0.2311303052445401,0.3025784011398178,0.4662912936156421
cov1_plus1SD,0.17867241396174963,0.20103648282399916,0.6202911032142513
cov1_plus1SD,0.2185765405865421,0.2551787432272588,0.5262447161861992
cov1_minus1SD,0.25814933141574525,0.17064720866570227,0.5712034599185525
cov1_minus1SD,0.2502824031906377,0.26612008141811627,0.48359751539124596
cov1_minus1SD,0.1907184649024724,0.2908172083385777,0.5184643267589498
cov2_plus1SD,0.3447023384083844,0.18651733288973196,0.4687803287018836
cov2_plus1SD,0.2528878121730177,0.25260195003311087,0.49451023779387143
cov2_plus1SD,0.15123872554320278,0.22489494600516444,0.6238663284516328
cov2_minus1SD,0.17001763000148923,0.27191189460765136,0.5580704753908594
cov2_minus1SD,0.17767926234578515,0.2128103013327151,0.6095104363214997
cov2_minus1SD,0.2642838252678045,0.3163896020517838,0.4193265726804116
cov3_plus1SD,0.22497593272450514,0.22492317814481835,0.5501008891306766
cov3_plus1SD,0.21245450791878623,0.2578013697782033,0.5297441223030105
cov3_plus1SD,0.28392387994353013,0.3234639171570897,0.3926122028993802
cov3_minus1SD,0.2709129435688101,0.2344989053125351,0.4945881511186548
cov3_minus1SD,0.2138501294548546,0.2108409436367569,0.5753089269083885
cov3_minus1SD,0.1370667015527336,0.21417873356744047,0.648754564879826
cov4_plus1SD,0.29838915656926807,0.1966526497452021,0.5049581936855299
cov4_plus1SD,0.245302726388456,0.2542341910163384,0.5004630825952057
cov4_plus1SD,0.19319807359478616,0.2784740376227349,0.5283278887824789
cov4_minus1SD,0.20198265418140016,0.26522015474369554,0.5327971910749043
cov4_minus1SD,0.18374702467068507,0.21210623626660233,0.6041467390627125
cov4_minus1SD,0.21605627065893598,0.26684143053962545,0.5171022988014385
cov5_plus1SD,0.24694418199655438,0.23035624675781458,0.522699571245631
cov5_plus1SD,0.21480722431857016,0.23402429419779697,0.5511684814836328
cov5_plus1SD,0.205150570073266,0.27171331247121433,0.5231361174555197
cov5_minus1SD,0.2477299298119529,0.22981930099401288,0.5224507691940342
cov5_minus1SD,0.21220463250391053,0.233027675763076,0.5547676917330134
cov5_minus1SD,0.20363465148895318,0.27370441168817594,0.5226609368228708
