manager_id,period_id,most_likely_state,most_likely_label,posterior_state_1,posterior_state_2,posterior_state_3
M0001,2,3,Appreciation,0.2963743381087425,1.9175100073161535e-07,0.7036254701402569
M0001,3,1,Transitionary,0.8954841692244292,0.10451582997497225,8.005985157876086e-10
M0001,4,1,Transitionary,0.9881376734198465,0.011835766133319377,2.6560446834277434e-05
M0001,5,1,Transitionary,0.9936928020027976,0.00030214199387516676,0.0060050560033269645
M0001,6,2,Aversion,0.06298309578263181,0.9370169013267479,2.8906202283133048e-09
M0001,7,3,Appreciation,0.014357344870068152,3.462479714998647e-10,0.9856426547836837
M0001,8,2,Aversion,0.06693084333328837,0.9330691546234802,2.043231592552218e-09
M0001,9,3,Appreciation,0.007120123551884964,5.100102117167993e-11,0.9928798763971141
M0001,10,1,Transitionary,0.9773226253579532,0.022671099908170008,6.274733876956961e-06
M0001,11,1,Transitionary,0.9388573019906838,1.2192387789080454e-05,0.061130505621526984
M0001,12,3,Appreciation,0.0032978759152900283,3.0255676079372195e-12,0.9967021240816842
M0001,13,3,Appreciation,0.48037747448709467,9.773258268875377e-07,0.5196215481870784
M0001,14,2,Aversion,0.12746439596407794,0.8725355863961711,1.7639750906609593e-08
M0001,15,2,Aversion,0.00039316646930524893,0.9996068335304638,2.309988111989567e-13
M0001,16,2,Aversion,0.022902788182189063,0.9770972115480158,2.697950615877704e-10
M0001,17,1,Transitionary,0.9983046022032802,0.00012688951896261893,0.0015685082777571755
M0001,18,3,Appreciation,0.16969751569861313,3.650863849604787e-08,0.8303024477927483
M0001,19,2,Aversion,0.015567020509484625,0.9844329794138021,7.671310822732763e-11
M0001,20,3,Appreciation,3.4428034752689516e-09,3.8217714869121374e-24,0.9999999965571966
M0001,21,1,Transitionary,0.9969674587026809,0.003020430764521186,1.2110532797699415e-05
M0001,22,3,Appreciation,0.08195019342362454,4.4587456839996907e-11,0.9180498065317881
M0001,23,2,Aversion,0.15224421703697705,0.8477557797054542,3.2575686489082535e-09
M0001,24,3,Appreciation,2.8443075322588324e-07,9.472727982961917e-23,0.9999997155692468
M0001,25,2,Aversion,0.45885967426107355,0.5411401711033572,1.5463556937543394e-07
M0001,26,1,Transitionary,0.9658334795118252,1.0582830909652662e-05,0.03415593765726519
M0002,2,1,Transitionary,0.9552343805195933,0.04476126572600103,4.353754405628685e-06
M0002,3,1,Transitionary,0.9917053857545932,0.008245089469284895,4.952477612176948e-05
M0002,4,1,Transitionary,0.9964675411321364,0.003432080595500758,0.00010037827236288358
M0002,5,1,Transitionary,0.993875893474989,0.006113210574769466,1.0895950241566888e-05
M0002,6,2,Aversion,0.14933744078397151,0.8506625462602483,1.295578029992845e-08
M0002,7,1,Transitionary,0.9722414993791112,0.00022031233150788322,0.0275381882893807
M0002,8,1,Transitionary,0.9338232120766974,0.06609297673703925,8.381118626330955e-05
M0002,9,1,Transitionary,0.8347361717099524,8.904238210467624e-06,0.165254924051837
M0002,10,1,Transitionary,0.7579773842440668,0.24201235978963986,1.0255966293383112e-05
