model_order,spec,J,P,transition_cols,LL,AIC,BIC,k_params,n_obs,strict_converged,scipy_success,iterations,occupancy_min,certainty_mean,runtime_min,source,message,dataset_path,data_signature
2,single_period,2,3,"team_t_minus_1_vs_team_t, team_vs_peer_average, target_attainment",-14377.171776983463,28910.343553966926,29536.864547068497,78,22750,False,False,25,0.3346481461991036,0.9610032796648978,10.233952395121255,second_order_full_data,EM iteration limit reached,C:\Users\Admin\OneDrive\Desktop\Algorithm-Appreciation-and-Aversion-in-Triadic-Delegation-Settings\Datasets\Triadic_Delegation_Analysis_Dataset_v3_state_trend_calibrated.xlsx,C:\Users\Admin\OneDrive\Desktop\Algorithm-Appreciation-and-Aversion-in-Triadic-Delegation-Settings\Datasets\Triadic_Delegation_Analysis_Dataset_v3_state_trend_calibrated.xlsx::74101641::1778704108846090500
2,single_period,3,3,"team_t_minus_1_vs_team_t, team_vs_peer_average, target_attainment",-9221.63960685431,18803.27921370862,20249.09689009686,180,22750,False,False,15,0.1886738721694348,0.9393952292557972,6.5394624670346575,second_order_full_data,EM iteration limit reached,C:\Users\Admin\OneDrive\Desktop\Algorithm-Appreciation-and-Aversion-in-Triadic-Delegation-Settings\Datasets\Triadic_Delegation_Analysis_Dataset_v3_state_trend_calibrated.xlsx,C:\Users\Admin\OneDrive\Desktop\Algorithm-Appreciation-and-Aversion-in-Triadic-Delegation-Settings\Datasets\Triadic_Delegation_Analysis_Dataset_v3_state_trend_calibrated.xlsx::74101641::1778704108846090500
2,single_period,4,3,"team_t_minus_1_vs_team_t, team_vs_peer_average, target_attainment",-7330.609061318001,15373.218122636003,18232.72419371496,356,22750,False,False,12,0.13081054249826904,0.90255976708106,6.277577590942383,second_order_full_data,EM iteration limit reached,C:\Users\Admin\OneDrive\Desktop\Algorithm-Appreciation-and-Aversion-in-Triadic-Delegation-Settings\Datasets\Triadic_Delegation_Analysis_Dataset_v3_state_trend_calibrated.xlsx,C:\Users\Admin\OneDrive\Desktop\Algorithm-Appreciation-and-Aversion-in-Triadic-Delegation-Settings\Datasets\Triadic_Delegation_Analysis_Dataset_v3_state_trend_calibrated.xlsx::74101641::1778704108846090500
